ID,Historia/Tarea,Descripción,Prioridad,Sprint Sugerido,Estado,Responsable,Criterios de Aceptación,Estimación (Puntos)
HU-01,Login y roles de usuario,"Como administrador, quiero ingresar al sistema con usuario y contraseña para gestionar empleados y proyectos.",Crítica,Sprint 1,Finalizada,Equipo Backend,"Login con HTTP Basic Auth, validación de credenciales, roles ADMIN/USER",2
HU-02,Registrar empleado,"Como administrador, quiero registrar empleados (nombre, correo, cargo) en MySQL.",Alta,Sprint 1,Finalizada,Equipo Backend,"Crear empleados con nombre, cargo, salario y email único, validaciones de campos",3
HU-03,Buscar empleados,"Como administrador, quiero buscar empleados por nombre o cargo para encontrar personal específico rápidamente.",Media,Sprint 1,Finalizada,Equipo Backend,"Filtrar empleados por nombre, cargo o rango salarial, resultados en tiempo real",2
HU-04,Actualizar empleado,"Como administrador, quiero actualizar la información de empleados para mantener los datos precisos.",Alta,Sprint 1,Finalizada,Equipo Backend,"Editar todos los campos excepto ID, con validaciones, confirmación de cambios",2
HU-05,Eliminar empleado,"Como administrador, quiero eliminar empleados que ya no trabajan para mantener la base de datos limpia.",Media,Sprint 1,Finalizada,Equipo Backend,"Confirmación antes de eliminar, verificar proyectos asociados, soft delete",2
HU-06,Crear proyecto,"Como gerente de proyecto, quiero crear nuevos proyectos para organizar el trabajo del equipo.",Alta,Sprint 1,Finalizada,Equipo Backend,"Crear proyecto con empleado asignado, fecha de inicio y descripción en MongoDB",3
HU-07,Filtrar proyectos,"Como gerente de proyecto, quiero filtrar proyectos por empleado o estado para hacer seguimiento efectivo.",Alta,Sprint 1,Finalizada,Equipo Backend,"Filtros por empleado, completado/pendiente, y búsqueda por nombre, UI intuitiva",3
HU-08,Ver mis proyectos,"Como empleado, quiero ver todos mis proyectos asignados para conocer mi carga de trabajo.",Alta,Sprint 2,En progreso,Equipo Frontend,"Lista de proyectos del empleado con estado y progreso, vista personalizada",2
HU-09,Agregar tareas,"Como empleado, quiero agregar tareas a mis proyectos para desglosar el trabajo.",Media,Sprint 2,Pendiente,Equipo Backend,"Crear tareas con título y estado (pendiente, en progreso, completo), CRUD completo",2
HU-10,Cambiar estado tareas,"Como empleado, quiero cambiar el estado de mis tareas para reflejar el progreso.",Media,Sprint 2,Pendiente,Equipo Frontend,"Cambiar estado de tareas y actualizar progreso del proyecto automáticamente",2
HU-11,Exportar empleados,"Como administrador, quiero exportar reportes de empleados para análisis externos.",Baja,Sprint 3,Finalizada,Equipo Backend,"Exportar en CSV y Excel con métricas de proyectos, formatos profesionales",2
HU-12,Exportar proyectos,"Como gerente, quiero exportar reportes de proyectos para seguimiento ejecutivo.",Baja,Sprint 3,Finalizada,Equipo Backend,"Exportar proyectos con métricas de tareas completadas, múltiples formatos",2
HU-13,Autenticación sistema,"Como usuario del sistema, quiero autenticarme con mis credenciales para acceder a las funciones protegidas.",Crítica,Sprint 1,Finalizada,Equipo Backend,"Login con HTTP Basic Auth, sesiones seguras, manejo de tokens",2
HU-14,Acceso público proyectos,"Como usuario no autenticado, quiero acceder a los proyectos sin login para consultar información pública.",Alta,Sprint 1,Finalizada,Equipo Backend,"Acceso completo a /proyectos sin autenticación, vistas públicas",1
HU-15,Restricción empleados,"Como administrador, quiero que el acceso a empleados esté restringido para proteger datos sensibles.",Crítica,Sprint 1,Finalizada,Equipo Backend,"Solo usuarios con rol ADMIN pueden acceder a /empleados, seguridad robusta",3
HU-16,Redirección automática,"Como usuario, quiero ser redirigido automáticamente a la página principal al acceder al sistema.",Media,Sprint 2,Finalizada,Equipo Frontend,"GET / redirige a /empleados (para admins) o página apropiada según rol",1
HU-17,Navegación módulos,"Como usuario, quiero navegar fácilmente entre empleados y proyectos para gestionar ambos módulos.",Media,Sprint 2,En progreso,Equipo Frontend,"Enlaces de navegación en todas las vistas principales, UX coherente",2
HU-18,API REST empleados,"Como desarrollador frontend, quiero APIs REST para empleados para integrar con aplicaciones externas.",Alta,Sprint 2,Finalizada,Equipo Backend,"Endpoints /api/empleados con respuestas JSON, autenticación requerida, documentación",3
HU-19,API REST proyectos,"Como desarrollador frontend, quiero APIs REST para proyectos para crear interfaces personalizadas.",Alta,Sprint 2,Finalizada,Equipo Backend,"Endpoints /api/proyectos con respuestas JSON, acceso público, versionado",3
HU-20,Manejo errores,"Como usuario, quiero ver mensajes claros cuando algo sale mal para entender qué ocurrió.",Media,Sprint 2,Pendiente,Equipo Frontend,"Páginas de error 404, 401, 500 con mensajes descriptivos, UX amigable",2
HU-21,Validación datos,"Como administrador, quiero que el sistema valide los datos de entrada para prevenir errores.",Alta,Sprint 1,En progreso,Equipo Backend,"Validación de email único, campos requeridos, tipos de datos, mensajes claros",3
HU-22,Integridad referencial,"Como gerente, quiero que la relación empleado-proyecto sea consistente para mantener integridad referencial.",Crítica,Sprint 1,Finalizada,Equipo Backend,"Validación de empleadoId existe antes de asignar proyecto, transacciones",3
HU-23,Vista consolidada,"Como usuario, quiero ver información consolidada de empleados con sus proyectos para análisis completo.",Alta,Sprint 3,Pendiente,Equipo Full-Stack,"Vista que combine datos de MySQL (empleado) + MongoDB (proyectos), performance optimizada",4
HU-24,Formularios intuitivos,"Como usuario, quiero formularios intuitivos para crear/editar entidades para facilitar la captura de datos.",Media,Sprint 2,En progreso,Equipo Frontend,"Formularios con validación client-side, UX amigable, responsive design",3
HU-25,Confirmaciones eliminación,"Como usuario, quiero confirmaciones antes de eliminar datos para prevenir pérdidas accidentales.",Alta,Sprint 2,Finalizada,Equipo Frontend,"Diálogos de confirmación con JavaScript antes de DELETE, UX segura",2
HU-26,Health checks BD,"Como administrador de sistema, quiero monitorear el estado de las conexiones de BD para asegurar disponibilidad.",Media,Sprint 3,Pendiente,Equipo DevOps,"Health checks para MySQL y MongoDB, alertas automáticas, dashboard",2
HU-27,Logs auditoría,"Como administrador de sistema, quiero logs de actividad para auditoría y troubleshooting.",Baja,Sprint 4,Pendiente,Equipo Backend,"Logs de operaciones CRUD, errores y accesos, almacenamiento estructurado",2